ZEP 1:1	Yahweh’s word which came to Zephaniah, the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, in the days of Josiah, the son of Amon, king of Judah.
ZEP 1:2	I will utterly sweep away everything from the surface of the earth, says Yahweh.
ZEP 1:3	I will sweep away man and animal. I will sweep away the birds of the sky, the fish of the sea, and the heaps of rubble with the wicked. I will cut off man from the surface of the earth, says Yahweh.
ZEP 1:4	I will stretch out my hand against Judah, and against all the inhabitants of Jerusalem. I will cut off the remnant of Baal from this place: the name of the idolatrous and pagan priests,
ZEP 1:5	those who worship the army of the sky on the housetops, those who worship and swear by Yahweh and also swear by Malcam,
ZEP 1:6	those who have turned back from following Yahweh, and those who haven’t sought Yahweh nor inquired after him.
ZEP 1:7	Be silent at the presence of the Lord Yahweh, for the day of Yahweh is at hand. For Yahweh has prepared a sacrifice. He has consecrated his guests.
ZEP 1:8	It will happen in the day of Yahweh’s sacrifice, that I will punish the princes, the king’s sons, and all those who are clothed with foreign clothing.
ZEP 1:9	In that day, I will punish all those who leap over the threshold, who fill their master’s house with violence and deceit.
ZEP 1:10	In that day, says Yahweh, there will be the noise of a cry from the fish gate, a wailing from the second quarter, and a great crashing from the hills.
ZEP 1:11	Wail, you inhabitants of Maktesh, for all the people of Canaan are undone! All those who were loaded with silver are cut off.
ZEP 1:12	It will happen at that time, that I will search Jerusalem with lamps, and I will punish the men who are settled on their dregs, who say in their heart, “Yahweh will not do good, neither will he do evil.”
ZEP 1:13	Their wealth will become a plunder, and their houses a desolation. Yes, they will build houses, but won’t inhabit them. They will plant vineyards, but won’t drink their wine.
ZEP 1:14	The great day of Yahweh is near. It is near, and hurries greatly, the voice of the day of Yahweh. The mighty man cries there bitterly.
ZEP 1:15	That day is a day of wrath, a day of distress and anguish, a day of trouble and ruin, a day of darkness and gloom, a day of clouds and blackness,
ZEP 1:16	a day of the trumpet and alarm, against the fortified cities, and against the high battlements.
ZEP 1:17	I will bring distress on men, that they will walk like blind men, because they have sinned against Yahweh, and their blood will be poured out like dust, and their flesh like dung.
ZEP 1:18	Neither their silver nor their gold will be able to deliver them in the day of Yahweh’s wrath, but the whole land will be devoured by the fire of his jealousy; for he will make an end, yes, a terrible end, of all those who dwell in the land.
ZEP 3:1	Woe to her who is rebellious and polluted, the oppressing city!
ZEP 3:2	She didn’t obey the voice. She didn’t receive correction. She didn’t trust in Yahweh. She didn’t draw near to her God.
ZEP 3:3	Her princes within her are roaring lions. Her judges are evening wolves. They leave nothing until the next day.
ZEP 3:4	Her prophets are arrogant and treacherous people. Her priests have profaned the sanctuary. They have done violence to the law.
ZEP 3:5	Yahweh, within her, is righteous. He will do no wrong. Every morning he brings his justice to light. He doesn’t fail, but the unjust know no shame.
ZEP 3:6	I have cut off nations. Their battlements are desolate. I have made their streets waste, so that no one passes by. Their cities are destroyed, so that there is no man, so that there is no inhabitant.
ZEP 3:7	I said, “Just fear me. Receive correction, so that her dwelling won’t be cut off, according to all that I have appointed concerning her.” But they rose early and corrupted all their doings.
ZEP 3:8	“Therefore wait for me”, says Yahweh, “until the day that I rise up to the prey, for my determination is to gather the nations, that I may assemble the kingdoms, to pour on them my indignation, even all my fierce anger, for all the earth will be devoured with the fire of my jealousy.
ZEP 3:9	For then I will purify the lips of the peoples, that they may all call on Yahweh’s name, to serve him shoulder to shoulder.
ZEP 3:10	From beyond the rivers of Cush, my worshipers, even the daughter of my dispersed people, will bring my offering.
ZEP 3:11	In that day you will not be disappointed for all your doings, in which you have transgressed against me; for then I will take away out from among you your proudly exulting ones, and you will no more be haughty in my holy mountain.
ZEP 3:12	But I will leave among you an afflicted and poor people, and they will take refuge in Yahweh’s name.
ZEP 3:13	The remnant of Israel will not do iniquity, nor speak lies, neither will a deceitful tongue be found in their mouth, for they will feed and lie down, and no one will make them afraid.”
ZEP 3:14	Sing, daughter of Zion! Shout, Israel! Be glad and rejoice with all your heart, daughter of Jerusalem.
ZEP 3:15	Yahweh has taken away your judgments. He has thrown out your enemy. The King of Israel, Yahweh, is among you. You will not be afraid of evil any more.
ZEP 3:16	In that day, it will be said to Jerusalem, “Don’t be afraid, Zion. Don’t let your hands be weak.”
ZEP 3:17	Yahweh, your God, is among you, a mighty one who will save. He will rejoice over you with joy. He will calm you in his love. He will rejoice over you with singing.
ZEP 3:18	I will remove those who grieve about the appointed feasts from you. They are a burden and a reproach to you.
ZEP 3:19	Behold, at that time I will deal with all those who afflict you, and I will save those who are lame, and gather those who were driven away. I will give them praise and honor, whose shame has been in all the earth.
ZEP 3:20	At that time will I bring you in, and at that time will I gather you; for I will give you honor and praise among all the peoples of the earth, when I restore your fortunes before your eyes, says Yahweh.
