# Math knowledge: definitions, types, symbols, properties.
# Atomic short values only (lint-gated). ES links every definiendum
# so "que es X" resolves through the live map, no word lists.
PI	ES	CONSTANTE_MATEMATICA
E	ES	CONSTANTE_MATEMATICA
PI	SIMBOLO	PI
E	SIMBOLO	E
MAS	ES	OPERADOR
MENOS	ES	OPERADOR
POR	ES	OPERADOR
ENTRE	ES	OPERADOR
IGUAL	ES	OPERADOR
MAS	SIMBOLO	+
MENOS	SIMBOLO	-
POR	SIMBOLO	ASTERISCO
ENTRE	SIMBOLO	/
IGUAL	SIMBOLO	=
POTENCIA	ES	OPERADOR
RAIZ	ES	OPERADOR
POTENCIA	SIMBOLO	^
RAIZ	SIMBOLO	SQRT
CERO	ES	NUMERO
UNO	ES	NUMERO
DOS	ES	NUMERO
TRES	ES	NUMERO
CUATRO	ES	NUMERO
CINCO	ES	NUMERO
SEIS	ES	NUMERO
SIETE	ES	NUMERO
OCHO	ES	NUMERO
NUEVE	ES	NUMERO
DIEZ	ES	NUMERO
PAR	ES	PROPIEDAD_NUMERICA
IMPAR	ES	PROPIEDAD_NUMERICA
DOS	ES	PAR
TRES	ES	IMPAR
CUATRO	ES	PAR
CINCO	ES	IMPAR
TRIANGULO	ES	FIGURA
CUADRADO	ES	FIGURA
CIRCULO	ES	FIGURA
RECTA	ES	FIGURA
TRIANGULO	TIENE_LADOS	3
CUADRADO	TIENE_LADOS	4
CIRCULO	TIENE_LADOS	0
SUMA	ES	OPERACION
RESTA	ES	OPERACION
MULTIPLICACION	ES	OPERACION
DIVISION	ES	OPERACION
SUMA	USA	MAS
RESTA	USA	MENOS
MULTIPLICACION	USA	POR
DIVISION	USA	ENTRE
CALCULO	ES	RAMA_MATEMATICA
ALGEBRA	ES	RAMA_MATEMATICA
GEOMETRIA	ES	RAMA_MATEMATICA
ARITMETICA	ES	RAMA_MATEMATICA
DERIVADA	ES	OPERACION_CALCULO
INTEGRAL	ES	OPERACION_CALCULO
TEOREMA	ES	OBJETO_MATEMATICO
AXIOMA	ES	OBJETO_MATEMATICO
INFINITO	ES	CONCEPTO
CERO	ES	PAR
